Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Keegan Ocorr,Rochester Institute of Technology Tigers,21,2,0,0.0000,2,2,100.0000,0,0,NULL,50.00000,17,0
Chase Dickens,Rochester Institute of Technology Tigers,19,3,1,33.3333,1,1,100.0000,1,1,100.0000,62.50000,13,2
Matt Caggiano,Rochester Institute of Technology Tigers,18,1,0,0.0000,2,1,50.0000,0,0,NULL,33.33333,12,3
Brock Bowen,Rochester Institute of Technology Tigers,17,2,0,0.0000,1,1,100.0000,1,1,100.0000,33.33333,9,5
Kenny Wilburn,Rochester Institute of Technology Tigers,12,0,0,NULL,3,1,33.3333,1,1,100.0000,33.33333,8,1
Josiah Turner,Rochester Institute of Technology Tigers,10,0,0,NULL,3,3,100.0000,0,0,NULL,100.00000,6,1
Brody Brown,Rochester Institute of Technology Tigers,10,0,0,NULL,0,0,NULL,0,0,NULL,NULL,4,6
Jackson Otis,Rochester Institute of Technology Tigers,5,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,4,0
Pat Healy,Hobart College Statesmen,4,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,3,0
Aidan Rodgers,Hobart College Statesmen,4,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,2,1
Logan Wendell,Ithaca College,4,2,0,0.0000,0,0,NULL,0,0,NULL,0.00000,2,0
Steve DeRegis,,4,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,4
Aidan Roy,Skidmore Thoroughbreds,4,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,3
Shea Fitzgerald,Vassar Brewers,4,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,2
Elliot Harris,Bard College,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Steve DeRegis,Clarkson University Golden Knights,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Carter Meshanic,Hobart College Statesmen,3,0,0,NULL,3,1,33.3333,0,0,NULL,33.33333,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,3,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,1,0
Nick Padilla,Skidmore Thoroughbreds,3,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,2
Jake Walsh,Skidmore Thoroughbreds,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,1
Josiah Turner,,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,3
Troy McPherson,St. Lawrence Saints,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Emmanuel Leftenant,Alfred State Pioneers,3,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,1,1
Jonny Angbazo,Rensselaer Polytechnic,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Christian Dufort,Union (NY) Dutchmen,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Rowan Heinze,Bard College,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Laz Panagiotounis,Bard College,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Sean Wilcox,Bard College,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Matt Brand,Hobart College Statesmen,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Zac Ditzel,Rochester Institute of Technology Tigers,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Sam Pisanelli,,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,2
Alex Moesch,Hobart College Statesmen,2,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,1,0
Cole Wissink,Ithaca College,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Mark Osime,Rochester Institute of Technology Tigers,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Chase Dickens,,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,2
Hakeem Daphnis,Skidmore Thoroughbreds,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Connor Recore,St. John Fisher Cardinals,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Trey Syroka,St. Lawrence Saints,2,1,0,0.0000,1,0,0.0000,0,0,NULL,0.00000,0,0
Carter Storey,St. Lawrence Saints,2,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,1,0
Tanner Tedesco,Union (NY) Dutchmen,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Lemar Fulmore Jr,Union (NY) Dutchmen,2,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,1,0
Sebastian Medina,Vassar Brewers,2,0,0,NULL,2,0,0.0000,0,0,NULL,0.00000,0,0
Nathan Denham,Vassar Brewers,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Case Parsons,Vassar Brewers,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Chase Welch,Wells,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Billy Mccrae,Wells,2,0,0,NULL,2,0,0.0000,1,0,0.0000,0.00000,0,0
Matt Caggiano,,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,2
Frankie Rainville,Clarkson University Golden Knights,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Isaiah Washington,Hobart College Statesmen,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,1,0
Matthew Garside,,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,2
Logan Jagodzinski,Rochester (NY) Yellowjackets,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Heston Tucker,Bard College,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Braeden Burns,Clarkson University Golden Knights,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Hunter Meshanic,Hobart College Statesmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Axel Traina,Hobart College Statesmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Nolan Smih,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Alex Penders,Ithaca College,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Triston Wennersten,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Jaylen Savage,Nazareth College Golden Flyers,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Luke Insley,Nazareth College Golden Flyers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Solomon Mcfarlane,Nazareth College Golden Flyers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
PJ Scalisi,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
PJ Scalisi,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Joey Skoric,Skidmore Thoroughbreds,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ian Bentley,Skidmore Thoroughbreds,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Brock Bowen,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Jack Foley,St. John Fisher Cardinals,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Matt Lettko,St. John Fisher Cardinals,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Cole Thompson,St. John Fisher Cardinals,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Jack Wirtanen,St. Lawrence Saints,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Gavin Macaulay,St. Lawrence Saints,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Lenny Buddington lll,St. Lawrence Saints,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Luke Granto,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Jackson Otis,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Logan Scott,Vassar Brewers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Avery Lee,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Terrance Clayton-Murphy,Wells,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
James Lucey,Wells,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Donye Johnson,Wells,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Paris Jamison,Alfred State Pioneers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Azriel Almodovar,Bard College,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Mike Parme,Bard College,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ryan Miles-Ferguson,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Ryan Miles-Ferguson,Clarkson University Golden Knights,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Finn Cork,Clarkson University Golden Knights,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Keegan Ocorr,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Mark Osime,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Owen Evans,Elmira,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Marc Anthony Artuz,Elmira,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Dylan Jacob,Elmira,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Cameron Storm,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Carter Seeberger,Elmira,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Luke Mcbrine,Gallaudet University Bison,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Zachary Bippus,Gallaudet University Bison,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Enow Otto Jr.,Gallaudet University Bison,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Jaykuss Figueroa,Gallaudet University Bison,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ryan Lucey,Hobart College Statesmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Jaylon O'Neal,Ithaca College,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ben Eugster,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Dyland Matchett,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Adam Dudzinski,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Brody Brown,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Tate Kuiper,St. Lawrence Saints,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Troy McPherson,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Connor Cepiel,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Matthew Garside,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Connor Cepiel,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Christian Dufort,,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Jack Plesser,Union (NY) Dutchmen,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Aren Cummings,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Tomiwa Adetosoye,Rochester (NY) Yellowjackets,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Malachi Moore,Rochester (NY) Yellowjackets,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Devyn Benson,Vassar Brewers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
JP Miranda,Vassar Brewers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
